code,name,department,aliases
PS 288,Career Planning,PS,{}
PS 304,Biopsychology,PS,{}
PS 306,Psychology of Adulthood,PS,{}
PS 309,Psychopathology,PS,{}
PS 310,Career Counseling,PS,{}
PS 311,Psychology of Sport,PS,{}
PS 312,Applied Behavior Analysis,PS,{}
PS 313,Counseling Psychology,PS,{}
PS 314,Social Psychology,PS,{}
PS 318,Cross-Cultural Psychology,PS,{}
PS 319,Psychological Testing,PS,{}
PS 321,Human Motivation,PS,{}
PS 322,Educational Psychology,PS,{}
PS 323,Sensation and Perception,PS,{}
PS 324,Forensic Psychology,PS,{}
PS 326,Cognitive Psychology,PS,{}
PS 328,Psychology of Learning,PS,{}
PS 330,Psychology of Addiction,PS,{}
PS 332,History and Systems in Psychology,PS,{}
PS 335,Health Psychology,PS,{}
PS 336,Positive Psychology,PS,{}
PS 345,"Cultural Competence: Diversity, Privilege, and Prejudice",PS,{}
PS 385,"Existentialism, Psychology and Film",PS,{}
PS 402,Experimental Psychology,PS,{}
PS 405,Advanced Research In Psychology,PS,{}
PS 410,Special Topics: Organizational Psychology,PS,{}
PS 425,Psychology Capstone,PS,{}
PS 489,Field Internship,PS,{}
PS 499,Independent Study,PS,{}
PU 200,Introduction To Public Health,PU,{}
PU 205,Theory of Health Beliefs,PU,{}
PU 215,Public Health Preparedness and Emergency Management,PU,{}
PU 230,Communication Strategies in Public Health Education,PU,{}
PU 301,Fundamentals of Epidemiology,PU,{}
PU 305,Essentials of Chronic Disease Management,PU,{}
PU 310,Fundamental Consideration of Global Health,PU,{}
PU 315,Community Needs Assessment,PU,{}
PU 410,Nutrition,PU,{}
PU 415,Public Health Planning & Evaluation,PU,{}
PU 487,Field Internship I,PU,{}
PU 489,Field Internship II,PU,{}
PY 101,Survey of the Physical Sciences,PY,{}
PY 104,Astronomy,PY,{}
PY 109,Science Within the Law,PY,{}
PY 201,General Physics I,PY,{}
PY 201L,General Physics I Laboratory,PY,{}
PY 202,General Physics II,PY,{}
PY 202L,General Physics II Laboratory,PY,{}
PY 205,Science for the Middle School Educator,PY,{}
PY 301,Advanced Classical Mechanics,PY,{}
PY 317,Quantum Mechanics,PY,{}
PY 320,Physical Chemistry: Thermodynamics,PY,{}
PY 321,Physical Chemistry: Quantum Mechanics,PY,{}
RN 219,The Professional Nurse: An Introduction to Practice,RN,{}
RN 303,Health and Cultural Assessment Across the Lifespan,RN,{}
RN 305,Pathophysiology,RN,{}
RN 308,Nursing Research and Evidence-based Practice,RN,{}
RN 310,Pharmacology,RN,{}
RN 418,Transition to Professional Practice,RN,{}
RN 420,Community and Public Health,RN,{}
SJ 110,Introduction to Social Justice,SJ,{}
SO 101,Introduction to Sociology I: Foundations,SO,{}
SO 200,Writing in Sociology and Criminal Justice,SO,{}
SO 210,Community Service,SO,{}
SO 212,The World of Work,SO,{}
SO 224,Social Change,SO,{}
SO 231,Sociology of Poverty,SO,{}
SO 312,Media and Society,SO,{}
SO 314,Social Psychology,SO,{}
SO 323,Sociology of Racial and Cultural Groups,SO,{}
SO 326,Social Inequality,SO,{}
SO 330,Sociology of Marriage and the Family,SO,{}
SO 334,Sociology of Medicine,SO,{}
SO 335,Criminology,SO,{}
SO 336,Sociological Theory,SO,{}
SO 339,Sociology of Aging,SO,{}
SO 343,Sociology of Education,SO,{}
SO 344,Methods of Social Research I,SO,{}
SO 346,Methods of Social Research II,SO,{}
SO 348,Sociology of Deviance,SO,{}
SO 360,Sociology of Sport,SO,{}
SO 410a,"Seminar: Topics in Anthropology, Sociology, and Criminal Justice",SO,{}
SO 425,Sociology of Gender and Sexuality,SO,{}
SO 452,Sociology of Religion,SO,{}
SO 474,Contemporary Social Problems,SO,{}
SO 476,Urban Sociology,SO,{}
SO 487,Field Internship,SO,{}
SO 499,Independent Study,SO,{}
SP 101,Elementary Spanish I,SP,{}
SP 102,Elementary Spanish II,SP,{}
SP 105,Spanish for Health Professionals I,SP,{}
SP 106,Spanish for Health Professionals II,SP,{}
SP 201,Intermediate Spanish I,SP,{}
SP 202,Intermediate Spanish II,SP,"{""Interm Spanish II""}"
SP 211,Spanish for Heritage Speakers,SP,{}
SP 212,Spanish For Healthcare Prof II,SP,{}
SP 312,Translation,SP,{}
SP 320,Catholic Writers in the Hispanic World,SP,{}
SP 321,Advanced Spanish Grammar I,SP,{}
SP 322,Advanced Spanish Grammar II,SP,{}
SP 325,Spanish Conversation and Composition I,SP,{}
SP 326,Spanish Conversation and Composition II,SP,{}
SP 329,Hispanic Civilization I,SP,{}
SP 330,Hispanic Civilization II,SP,{}
SP 331,"Dominican Republic: Literature, Music and Arts",SP,{}
SP 341,Seminar in a Spanish Speaking Country,SP,{}
SP 390,Children’s Literature,SP,{}
SP 401,Spanish Literature I,SP,{}
SP 402,Spanish Literature II,SP,{}
SP 403,Survey of Spanish American Literature,SP,{}
SP 404,The Contemporary Spanish American Novel,SP,{}
SP 408,The Spanish American Short Story,SP,{}
SP 409,Topics in Spanish Studies,SP,{}
SP 420,Teaching World Languages,SP,{}
SP 423,Hispanic Caribbean Literature,SP,{}
SP 487,Field Internship I,SP,{}
SP 489,Field Internship II,SP,{}
SP 490,Field Internship III,SP,{}
SP 499,Independent Study,SP,{}
SS 101,Topics in Social Studies,SS,{}
TH 102,Introduction to Christian Theology,TH,{}
TH 201,Christian Responsibility,TH,{}
TH 209,Contemporary Catholic Social Teaching,TH,{}
TH 215,Catholic Medical Ethics,TH,{}
TH 304,Catholic Health Care in the United States,TH,{}
TH 305,Contemporary Theologians,TH,{}
TH 306,Communications and Catholic Thought,TH,{}
TH 308,Religious Dimensions of Peace,TH,{}
TH 312,Sacraments in Contemporary Life,TH,{}
TH 316,The History of Christian Thought,TH,{}
TH 317,Marriage and Catholic Theology,TH,{}
TH 318,The Old Testament,TH,{}
TH 319,The New Testament,TH,{}
TH 326,Theological Perspectives on Women,TH,{}
TH 331,Theology of Migration,TH,{}
TH 334,Christology,TH,{}
TH 371,Christian Spirituality,TH,{}
TH 495,Theology Capstone,TH,{}
